id,name,scraping_name,area_id
1,"インディ・ジョーンズ®・アドベンチャー： クリスタルスカルの魔宮","インディージョーンズ",4
2,"レイジングスピリッツ","レイジングスピリッツ",4
3,"ディズニーシー・トランジットスチーマーライン(ロストリバーデルタ)","トランジットスチーマーライン(ロストリバーデルタ)",4
4,"ヴェネツィアン・ゴンドラ","ヴェネツィアン・ゴンドラ",1
5,"ソアリン：ファンタスティック・フライト","ソアリン：ファンタスティック・フライト",1
6,"フォートレス・エクスプロレーション","フォートレス・エクスプロレーション",1
7,"ディズニーシー・トランジットスチーマーライン(メディテレーニアンハーバー)","スチーマーライン(メディテ)",1
8,"トイ・ストーリー・マニア！","トイ・ストーリー・マニア！",2
9,"センター・オブ・ジ・アース","センター・オブ・ジ・アース",7
10,"タワー・オブ・テラー","タワー・オブ・テラー",2
11,"アクアトピア","アクアトピア",3
12,"タートル・トーク","タートル・トーク",2
13,"ニモ＆フレンズ・シーライダー","ニモ＆フレンズ・シーライダー",3
14,"海底2万マイル","海底2万マイル",7
15,"シンドバッド・ストーリーブック・ヴォヤッジ","シンドバッド・ストーリーブック・ヴォヤッジ",5
16,"マジックランプシアター","マジックランプシアター",5
17,"ジャスミンのフライングカーペット","ジャスミンのフライングカーペット",5
18,"フランダーのフライングフィッシュコースター","フライングフィッシュコースター",6
19,"ビッグシティ・ヴィークル","ビッグシティ・ヴィークル",2
20,"ジャンピン・ジェリーフィッシュ","ジャンピン・ジェリーフィッシュ",6
21,"ブローフィッシュ・バルーンレース","ブローフィッシュ・バルーンレース",6
22,"キャラバンカルーセル","キャラバンカルーセル",5
23,"ディズニーシー・エレクトリックレールウェイ(ポートディスカバリー)","エレクトリックレールウェイ(ポートディスカバリー)",3
24,"ディズニーシー・エレクトリックレールウェイ(アメリカンウォーターフロント)","エレクトリックレールウェイ(アメリカンウォーターフロント)",2
25,"スカットルのスクーター","スカットルのスクーター",6
26,"マーメイドラグーンシアター","マーメイドラグーンシアター",6
27,"ワールプール","ワールプール",6
28,"ディズニーシー・トランジットスチーマーライン(ロストリバーデルタ)","スチーマーライン(ロスト)",4
29,"アリエルのプレイグラウンド","アリエルのプレイグラウンド",6
30,"オムニバス","オムニバス",8
31,"ペニーアーケード","ペニーアーケード",8
32,"ウエスタンリバー鉄道","ウエスタンリバー鉄道",9
33,"カリブの海賊","カリブの海賊",9
34,"ジャングルクルーズ：ワイルドライフ・エクスペディション","ジャングルクルーズ：ワイルドライフ・エクスペディション",9
35,"スイスファミリー・ツリーハウス","スイスファミリー・ツリーハウス",9
36,"魅惑のチキルーム：スティッチ・プレゼンツ“アロハ・エ・コモ・マイ！","魅惑のチキルーム",9
37,"ウエスタンランド・シューティングギャラリー","シューティングギャラリー",10
38,"カントリーベア・シアター","カントリーベア・シアター",10
39,"蒸気船マークトウェイン号","蒸気船マークトウェイン号",10
40,"トムソーヤ島いかだ","トムソーヤ島いかだ",10
41,"ビッグサンダー・マウンテン","ビッグサンダー・マウンテン",10
42,"スプラッシュ・マウンテン","スプラッシュ・マウンテン",11
43,"ビーバーブラザーズのカヌー探険","カヌー探検",11
44,"アリスのティーパーティー","アリスのティーパーティー",12
45,"イッツ・ア・スモールワールド","イッツ・ア・スモールワールド",12
46,"キャッスルカルーセル","キャッスルカルーセル",12
47,"白雪姫と七人のこびと","白雪姫と七人のこびと",12
48,"シンデレラのフェアリーテイル・ホール","シンデレラのフェアリーテイル・ホール",12
49,"空飛ぶダンボ","空飛ぶダンボ",12
50,"美女と野獣“魔法のものがたり”","美女と野獣“魔法のものがたり”",12
51,"ピーターパン空の旅","ピーターパン空の旅",12
52,"ピノキオの冒険旅行","ピノキオの冒険旅行",12
53,"プーさんのハニーハント","プーさんのハニーハント",12
54,"ホーンテッドマンション","ホーンテッドマンション",12
55,"ミッキーのフィルハーマジック","ミッキーのフィルハーマジック",12
56,"ガジェットのゴーコースター","ガジェットのゴーコースター",13
57,"グーフィーのペイント＆プレイハウス","グーフィーのペイント＆プレイハウス",13
58,"チップとデールのツリーハウス","チップとデールのツリーハウス",13
59,"トゥーンパーク","トゥーンパーク",13
60,"ドナルドのボート","ドナルドのボート",13
61,"ミニーの家","ミニーの家",13
62,"ロジャーラビットのカートゥーンスピン","ロジャーラビットのカートゥーンスピン",13
63,"スター・ツアーズ：ザ・アドベンチャーズ・コンティニュー","スターツアーズ",14
64,"スティッチ・エンカウンター","スティッチ・エンカウンター",14
65,"スペース・マウンテン","スペース・マウンテン",14
66,"バズ・ライトイヤーのアストロブラスター","バズ・ライトイヤー",14
67,"ベイマックスのハッピーライド","ベイマックスのハッピーライド",14
68,"モンスターズ・インク“ライド＆ゴーシーク！","モンスターズ・インク",14